"","date","peak_perday","offpeak_perday","totalusage_perday","PVgen_perday","feedin_perday","PVhours_perday","PVefficiency","feedinefficiency","month","year","season"
"1",2009-06-27,5.64285714285714,16.7142857142857,22.3571428571429,1.07142857142857,0.642857142857143,8.82142857142857,0.121457489878543,0.0728744939271255,"6","2009","Winter"
"2",2009-07-30,5.03030303030303,16.2727272727273,21.3030303030303,1.09090909090909,0.787878787878788,8.66666666666667,0.125874125874126,0.0909090909090909,"7","2009","Winter"
"3",2009-08-30,3.45161290322581,11.0645161290323,14.5161290322581,1.90322580645161,1.48387096774194,9.64516129032258,0.197324414715719,0.153846153846154,"8","2009","Winter"
"4",2009-09-29,3.43333333333333,10.7333333333333,14.1666666666667,2.66666666666667,2.13333333333333,10.8,0.246913580246914,0.197530864197531,"9","2009","Spring"
"5",2009-10-30,3.03225806451613,5.87096774193548,8.90322580645161,3.61290322580645,3.06451612903226,11.9677419354839,0.30188679245283,0.256064690026954,"10","2009","Spring"
"6",2009-11-29,1.86666666666667,0,1.86666666666667,3.73333333333333,3.1,12.7,0.293963254593176,0.244094488188976,"11","2009","Spring"
"7",2009-12-27,3.39285714285714,0,3.39285714285714,4,3.32142857142857,13.25,0.30188679245283,0.250673854447439,"12","2009","Summer"
"8",2010-01-31,2.91428571428571,1.22857142857143,4.14285714285714,4.45714285714286,3.57142857142857,13.1142857142857,0.339869281045752,0.272331154684096,"1","2010","Summer"
"9",2010-02-28,4.17857142857143,1.96428571428571,6.14285714285714,4.25,3.14285714285714,12.3571428571429,0.34393063583815,0.254335260115607,"2","2010","Summer"
"10",2010-03-30,4.03333333333333,3.63333333333333,7.66666666666667,3.73333333333333,2.83333333333333,11.3666666666667,0.328445747800586,0.249266862170088,"3","2010","Autumn"
"11",2010-05-01,4.46875,4.25,8.71875,2.71875,1.96875,10.46875,0.259701492537313,0.188059701492537,"4","2010","Autumn"
"12",2010-05-30,5.10344827586207,13.551724137931,18.6551724137931,1.68965517241379,1.20689655172414,8.86206896551724,0.190661478599222,0.136186770428016,"5","2010","Autumn"
"13",2010-07-03,7.41176470588235,18.7941176470588,26.2058823529412,1.08823529411765,0.647058823529412,8.70588235294118,0.125,0.0743243243243243,"6","2010","Winter"
"14",2010-07-25,7.77272727272727,22.0454545454545,29.8181818181818,1.09090909090909,0.727272727272727,8.63636363636364,0.126315789473684,0.0842105263157895,"7","2010","Winter"
"15",2010-08-29,7.05714285714286,21.6857142857143,28.7428571428571,1.65714285714286,1.08571428571429,9.62857142857143,0.172106824925816,0.112759643916914,"8","2010","Winter"
"16",2010-10-03,4.17142857142857,12.1142857142857,16.2857142857143,2.45714285714286,1.88571428571429,10.2857142857143,0.238888888888889,0.183333333333333,"9","2010","Spring"
"17",2010-10-31,4.32142857142857,9.10714285714286,13.4285714285714,3.71428571428571,2.75,12.2142857142857,0.304093567251462,0.225146198830409,"10","2010","Spring"
"18",2010-11-29,3.20689655172414,2.41379310344828,5.62068965517241,3.48275862068966,2.72413793103448,12.8620689655172,0.270777479892761,0.211796246648794,"11","2010","Spring"
"19",2010-12-31,2.84375,0,2.84375,3.65625,2.90625,13.1875,0.277251184834123,0.220379146919431,"12","2010","Summer"
"20",2011-01-31,3.32258064516129,0.193548387096774,3.51612903225806,4.12903225806452,3.35483870967742,13.0645161290323,0.316049382716049,0.25679012345679,"1","2011","Summer"
"21",2011-02-28,3.07142857142857,0,3.07142857142857,3.78571428571429,3.03571428571429,12.2857142857143,0.308139534883721,0.247093023255814,"2","2011","Summer"
"22",2011-03-31,3.29032258064516,1.32258064516129,4.61290322580645,3.38709677419355,2.70967741935484,11.2258064516129,0.301724137931034,0.241379310344828,"3","2011","Autumn"
"23",2011-05-01,4.06451612903226,4.29032258064516,8.35483870967742,2.83870967741935,2.2258064516129,10.2903225806452,0.275862068965517,0.216300940438871,"4","2011","Autumn"
"24",2011-05-29,3.92857142857143,11.4642857142857,15.3928571428571,1.57142857142857,1.21428571428571,9.32142857142857,0.168582375478927,0.130268199233716,"5","2011","Autumn"
"25",2011-06-29,5.70967741935484,17.5483870967742,23.258064516129,1.03225806451613,0.580645161290323,8.80645161290323,0.117216117216117,0.0659340659340659,"6","2011","Winter"
"26",2011-07-31,11.75,23.78125,35.53125,1.1875,0.65625,8.78125,0.135231316725979,0.0747330960854092,"7","2011","Winter"
"27",2011-08-30,6.13333333333333,19.9666666666667,26.1,2.13333333333333,1.2,9.6,0.222222222222222,0.125,"8","2011","Winter"
"28",2011-09-29,4.93333333333333,11.7333333333333,16.6666666666667,3.4,2.43333333333333,10.7666666666667,0.315789473684211,0.226006191950464,"9","2011","Spring"
